record_no,snapshot_index,target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error,tolerance,quantization_units,passed
1,1,a48850,lat,48.3902,true,3224725,48.390216443590276,true,1.6443590276082887e-05,4.2915354470099084e-05,0.38316333347636267,true
1,1,a48850,lon,9.4747,true,2207540,9.474723213845039,true,2.3213845038227987e-05,8.583070894019817e-05,0.2704608330149299,true
1,1,a48850,altitude,11887.2,true,12887,11887,true,0.2000000000007276,1.0,0.2000000000007276,true
1,1,a48850,speed,241.82,true,2418,241.8,true,0.01999999999998181,0.1,0.1999999999998181,true
1,1,a48850,heading,152.78,true,15278,152.78,true,0.0,0.01,0.0,true
1,1,a48850,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
1,1,a48850,callsign,UPS266,true,UPS266,UPS266,true,,exact,,true
2,1,896175,lat,45.5435,true,3158392,45.543512235525185,true,1.2235525183257323e-05,4.2915354470099084e-05,0.28510833323728746,true
2,1,896175,lon,5.0463,true,2155945,5.046287786075538,true,1.2213924461157433e-05,8.583070894019817e-05,0.14230250002557224,true
2,1,896175,altitude,10972.8,true,11973,10973,true,0.2000000000007276,1.0,0.2000000000007276,true
2,1,896175,speed,256.15,true,2561,256.1,true,0.049999999999954525,0.1,0.49999999999954525,true
2,1,896175,heading,109.96,true,10996,109.96000000000001,true,1.4210854715202004e-14,0.01,1.4210854715202004e-12,true
2,1,896175,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
2,1,896175,callsign,UAE4M,true,UAE4M,UAE4M,true,,exact,,true
3,1,3849ff,lat,47.5864,true,3205995,47.58641185436531,true,1.1854365311592119e-05,4.2915354470099084e-05,0.27622666660837086,true
3,1,3849ff,lon,7.5318,true,2184903,7.531773455565798,true,2.6544434201802858e-05,8.583070894019817e-05,0.30926500001645646,true
3,1,3849ff,altitude,,false,0,,false,,,,true
3,1,3849ff,speed,12.35,true,123,12.3,true,0.049999999999998934,0.1,0.49999999999998934,true
3,1,3849ff,heading,300.94,true,30094,300.94,true,0.0,0.01,0.0,true
3,1,3849ff,vertical_rate,,false,0,,false,,,,true
3,1,3849ff,callsign,M02,true,M02,M02,true,,exact,,true
4,1,407fac,lat,48.9159,true,3236974,48.91588662049452,true,1.337950548219169e-05,4.2915354470099084e-05,0.31176499990262807,true
4,1,407fac,lon,9.0408,true,2202484,9.040763149443421,true,3.68505565795374e-05,8.583070894019817e-05,0.4293400000367318,true
4,1,407fac,altitude,11582.4,true,12582,11582,true,0.3999999999996362,1.0,0.3999999999996362,true
4,1,407fac,speed,228.42,true,2284,228.4,true,0.01999999999998181,0.1,0.1999999999998181,true
4,1,407fac,heading,300.9,true,30090,300.90000000000003,true,5.684341886080802e-14,0.01,5.6843418860808015e-12,true
4,1,407fac,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
