field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
1:780abc:lat,31.2304,true,2824872,bit0,31.230383212657742,true,1.67873422576e-05/4.29153544701e-05,true
1:780abc:lon,121.4737,true,3512422,bit1,121.47367035714876,true,2.96428512314e-05/8.58307089402e-05,true
1:780abc:altitude,9800.0,true,10800,bit2,9800,true,0/1,true
1:780abc:speed,230.5,true,2305,bit3,230.5,true,0/0.1,true
1:780abc:heading,86.0,true,8600,bit4,86.0,true,0/0.01,true
1:780abc:vertical_rate,0.0,true,32768,bit5,0.0,true,0/0.01,true
1:780abc:callsign,CES1234,true,CES1234,bit6,CES1234,true,exact,true
2:000001:lat,0.0,true,2097152,bit0,2.1457677235048322e-05,true,2.1457677235e-05/4.29153544701e-05,true
2:000001:lon,0.0,true,2097152,bit1,4.2915354470096645e-05,true,4.29153544701e-05/8.58307089402e-05,true
2:000001:altitude,0.0,true,1000,bit2,0,true,0/1,true
2:000001:speed,0.0,true,0,bit3,0.0,true,0/0.1,true
2:000001:heading,0.0,true,0,bit4,0.0,true,0/0.01,true
2:000001:vertical_rate,0.0,true,32768,bit5,0.0,true,0/0.01,true
2:000001:callsign,TEST0001,true,TEST0001,bit6,TEST0001,true,exact,true
3:780def:lat,30.2741,true,2802589,bit0,30.27410036900052,true,3.69000520806e-07/4.29153544701e-05,true
3:780def:lon,120.1551,true,3497060,bit1,120.1551390064094,true,3.90064093949e-05/8.58307089402e-05,true
3:780def:altitude,7600.0,true,8600,bit2,7600,true,0/1,true
3:780def:speed,,false,0,bit3,,false,not_applicable,true
3:780def:heading,270.0,true,27000,bit4,270.0,true,0/0.01,true
3:780def:vertical_rate,-1.2,true,32648,bit5,-1.1999999999999886,true,1.13242748512e-14/0.01,true
3:780def:callsign,,false,,bit6,,false,exact,true
5:780bee:lat,22.5431,true,2622444,bit0,22.54311383798452,true,1.38379845218e-05/4.29153544701e-05,true
5:780bee:lon,114.0579,true,3426022,bit1,114.05789710471561,true,2.89528439623e-06/8.58307089402e-05,true
5:780bee:altitude,9000.0,true,10000,bit2,9000,true,0/1,true
5:780bee:speed,220.0,true,2200,bit3,220.0,true,0/0.1,true
5:780bee:heading,,false,0,bit4,,false,not_applicable,true
5:780bee:vertical_rate,0.0,true,32768,bit5,0.0,true,0/0.01,true
5:780bee:callsign,BADHEAD,true,BADHEAD,bit6,BADHEAD,true,exact,true
